gameID,teamID,season,date,location,goals,xGoals,shots,shotsOnTarget,deep,ppda,fouls,corners,yellowCards,redCards,result
196,74,2015,2015-11-07 19:00:00,a,1,1.79578,14,5,6,7.3158,7,11,3.0,0,W
197,85,2015,2015-11-07 21:30:00,h,1,0.825418,8,2,5,14.375,13,1,3.0,0,W
197,80,2015,2015-11-07 21:30:00,a,0,1.02642,19,4,13,5.8,10,9,1.0,0,L
198,71,2015,2015-11-08 17:30:00,h,0,0.182741,3,0,1,33.0,7,3,1.0,0,D
198,88,2015,2015-11-08 17:30:00,a,0,1.53281,13,3,12,6.8519,7,8,1.0,0,D
199,83,2015,2015-11-08 20:00:00,h,1,2.01767,10,4,9,6.3,12,7,0.0,0,D
199,82,2015,2015-11-08 20:00:00,a,1,0.90585,14,4,5,9.6957,17,6,1.0,0,D
200,87,2015,2015-11-08 20:00:00,h,1,2.15673,22,4,20,5.7826,7,14,1.0,0,L
200,78,2015,2015-11-08 20:00:00,a,2,0.849281,9,4,1,10.5909,6,6,2.0,0,W
201,90,2015,2015-11-21 16:45:00,h,1,1.47077,10,5,9,8.2143,6,4,1.0,0,L
201,89,2015,2015-11-21 16:45:00,a,2,1.30264,13,6,8,5.303,12,10,2.0,0,W
202,84,2015,2015-11-21 19:00:00,h,2,1.88526,11,4,5,9.6667,7,4,3.0,0,D
202,73,2015,2015-11-21 19:00:00,a,2,1.58509,16,4,11,9.8261,9,5,2.0,0,D
203,74,2015,2015-11-21 19:00:00,h,0,0.709485,15,1,15,10.1905,8,7,2.0,0,L
203,85,2015,2015-11-21 19:00:00,a,1,1.19495,16,4,3,16.6154,8,3,0.0,0,W
204,76,2015,2015-11-21 19:00:00,h,2,0.332888,4,1,2,13.2414,14,3,3.0,0,W
204,83,2015,2015-11-21 19:00:00,a,1,2.08956,11,3,11,5.0909,10,5,2.0,0,L
205,86,2015,2015-11-21 19:00:00,h,0,0.372387,9,1,1,9.8333,9,4,4.0,0,L
205,75,2015,2015-11-21 19:00:00,a,3,3.27478,18,7,12,8.0833,12,9,1.0,0,W
206,72,2015,2015-11-21 19:00:00,h,4,2.83068,16,9,6,11.2857,6,2,0.0,0,W
206,71,2015,2015-11-21 19:00:00,a,0,0.322061,10,3,2,17.2083,9,3,0.0,0,L
207,80,2015,2015-11-21 19:00:00,h,1,2.16487,21,7,15,6.8182,4,6,1.0,0,W
207,79,2015,2015-11-21 19:00:00,a,0,0.202798,4,2,2,14.3333,12,5,4.0,0,L
208,88,2015,2015-11-21 21:30:00,h,1,1.08612,11,3,9,9.5,5,11,0.0,0,L
208,87,2015,2015-11-21 21:30:00,a,4,2.61697,14,9,8,8.6552,13,5,3.0,0,W
209,82,2015,2015-11-22 20:00:00,h,4,3.22353,22,12,8,5.5405,13,7,2.0,0,W
209,81,2015,2015-11-22 20:00:00,a,1,0.818937,10,4,4,9.3704,9,6,2.0,0,L
210,78,2015,2015-11-24 00:00:00,h,0,0.696183,19,7,4,3.0625,18,11,1.0,0,L
